GRB ID,X-Ray dt [hr],Optical dt [hr],|dt_x - dt_o| [hr],Beta_X,Beta_X Upper Sigma, Lower Sigma,Beta_OX, Bound of Sigma_OX,Lower Bound of Sigma_OX
ID-130603B,7.777777777777778,7.9,0.12222222222222222,-1.2,0.1,0.1,-0.7115234202648277,0.0598826286627416,0.08538735778955092
ID-130603B,7.777777777777778,8.2,0.4222222222222212,-1.2,0.1,0.1,-0.7505322166451153,0.05348373116155127,0.07778770533041575
ID-130603B,13.333333333333334,14.4,1.0666666666666667,-1.2,0.1,0.1,-0.8605317025218918,0.03968351053274299,0.050636878174426775
ID-130603B,13.333333333333334,14.5,1.1666666666666667,-1.2,0.1,0.1,-0.8661661019578627,0.04491973962624131,0.05357002283251718
ID-130603B,13.333333333333334,14.6,1.2666666666666666,-1.2,0.1,0.1,-0.8329182284926615,0.04087805370926048,0.052214954387676156
ID-130603B,13.333333333333334,14.7,1.3666666666666667,-1.2,0.1,0.1,-0.8812929896523555,0.055967953381606615,0.0637829669002197
ID-130603B,13.333333333333334,14.8,1.4666666666666666,-1.2,0.1,0.1,-0.7911028898329382,0.04243921167527174,0.05415898000522772
ID-130603B,41.666666666666664,38.2,3.466666666666667,-1.2,0.1,0.1,-0.6491546498095031,0.19557565878175182,nan
ID-130603B,41.666666666666664,38.4,3.2666666666666666,-1.2,0.1,0.1,-0.6358454992029368,0.23037997434090254,nan
ID-130603B,41.666666666666664,38.6,3.066666666666667,-1.2,0.1,0.1,-0.7429399390897055,0.1805018657404534,nan
ID-130603B,41.666666666666664,38.6,3.066666666666667,-1.2,0.1,0.1,-0.9838600963072966,0.1682315871941653,nan
ID-130912A,0.26944444444444443,0.27,0.0005555555555555871,-0.57,0.13,0.13,-0.10111644718847318,0.06947411172042921,0.07181857293821726
ID-130912A,0.3611111111111111,0.38,0.01888888888888889,-0.57,0.13,0.13,-0.370140623028433,0.06824052625180145,0.06988374317279024
ID-130912A,0.3888888888888889,0.38,0.008888888888888889,-0.57,0.13,0.13,-0.3582277642733697,0.06802373588838484,0.06954305064658482
ID-130912A,0.4166666666666667,0.38,0.03666666666666667,-0.57,0.13,0.13,-0.33676258888841687,0.060074924126725465,0.05781464404039918
ID-131004A,3.0555555555555554,2.8,0.25555555555555554,-0.8,0.3,0.3,-0.5480949507502708,0.04954145852000899,0.05576975321870586
ID-131004A,3.0555555555555554,2.8,0.25555555555555554,-0.8,0.3,0.3,-0.6002301365956428,0.04745728432227749,0.05341234730613366
ID-131004A,3.0555555555555554,2.8,0.25555555555555554,-0.8,0.3,0.3,-0.629559972059353,0.04635629046067361,0.052049194180899976
ID-131004A,3.0555555555555554,2.8,0.25555555555555554,-0.8,0.3,0.3,-0.622383416751387,0.04521517279024773,0.05072889786635833
