ID-130603B,6.6,WHT,ACAM,i,900,16.4,0.88
ID-130603B,6.7,CAHA,DLR-MKIII,V,1800,8.3,0.73
ID-130603B,7,GTC,OSIRIS,r,30,11,0.2
ID-130603B,7.1,WHT,ACAM,g,900,6.3,0.34
ID-130603B,7.9,Gemini-S,GMOS,g,1440,5.3,0.19
ID-130603B,8.2,Magellan/Baade,IMACS,r,600,8.6,0.14
ID-130603B,9,Gemini-S,GMOS,i,1440,12.3,1.2
ID-130603B,14.4,Gemini-N,GMOS,z,500,6.5,0.18
ID-130603B,14.5,UKIRT,WFCAM,K,684,13.7,1.3
ID-130603B,14.6,Gemini-N,GMOS,i,500,4.5,0.12
ID-130603B,14.7,UKIRT,WFCAM,J,500,9.3,1.3
ID-130603B,14.8,Gemini-N,GMOS,r,500,2.9,0.08
ID-130603B,15,Gemini-N,GMOS,g,500,1.6,0.06
ID-130603B,31.2,Gemini-S,GMOS,r,540,0.3,0
ID-130603B,31.2,Gemini-S,GMOS,i,540,0.58,0
ID-130603B,32.2,Magellan/Baade,IMACS,r,1200,0.46,0
ID-130603B,38.2,Gemini-N,GMOS,g,600,0.19,0
ID-130603B,38.4,Gemini-N,GMOS,r,600,0.21,0.05
ID-130603B,38.6,Gemini-N,GMOS,i,600,0.48,0
ID-130603B,38.6,UKIRT,WFCAM,J,1400,3.6,0
ID-130716A,19.5,Gemini-N,GMOS,r,900,0.35,0
ID-130822A,21.1,Gemini-N,GMOS,i,600,0.58,0
ID-130912A,0.27,ESO/MPG,GROND,r,0,10.5,2.1
ID-130912A,0.38,P60,--,r,0,13,2.6
ID-130912A,0.88,P60,--,r,0,9.7,2.5
ID-130912A,20,WHT,ACAM,g,0,0.87,0
ID-130912A,24.8,Johnson,RATIR,r,19200,1.8,0
ID-130912A,24.8,Johnson,RATIR,i,19200,1.7,0
ID-130912A,24.8,Johnson,RATIR,Z,8060,3.7,0
ID-130912A,24.8,Johnson,RATIR,Y,8060,5.4,0
ID-130912A,24.8,Johnson,RATIR,J,8060,5.3,0
ID-130912A,24.8,Johnson,RATIR,H,8060,7.9,0
ID-131004A,0.43,NOT,ALFOSC,R,0,44.3,4.3
ID-131004A,1.1,TNG,DOLORES,R,60,25.5,2.5
ID-131004A,1.4,Liverpool,--,i,300,47.4,4.6
ID-131004A,1.9,Liverpool,--,i,300,32.8,3.2
ID-131004A,2.8,ESO/MPG,GROND,g,460,6,0.58
ID-131004A,2.8,ESO/MPG,GROND,r,460,9.6,0.93
ID-131004A,2.8,ESO/MPG,GROND,i,460,13.1,1.3
ID-131004A,2.8,ESO/MPG,GROND,z,460,14,1.4
ID-131004A,2.8,ESO/MPG,GROND,J,480,46.5,7.4
ID-131004A,2.8,ESO/MPG,GROND,H,480,34,6.9
ID-131004A,2.8,ESO/MPG,GROND,K,480,47.3,0
ID-131004A,7.3,Johnson,RATIR,r,7812,1.6,0
ID-131004A,7.3,Johnson,RATIR,i,7812,1.9,0
ID-131004A,7.3,Johnson,RATIR,Z,3384,2.9,0
ID-131004A,7.3,Johnson,RATIR,Y,3384,4.8,0
ID-131004A,7.3,Johnson,RATIR,J,3384,3.6,0
ID-131004A,7.3,Johnson,RATIR,H,3384,3.6,0
ID-131125A,11.8,iPTF,--,R,0,24.9,0
ID-131126A,19.5,iPTF,--,R,0,107.8,0
ID-140129B,0.032,Master-II,--,--,20,7590,0
ID-140129B,0.053,Master-II,--,--,30,3020,0
ID-140129B,0.079,Master-II,--,--,50,1910,0
ID-140129B,0.11,Master-II,--,--,70,1450,0
ID-140129B,0.15,Master-II,--,--,100,692,0
ID-140129B,0.2,Master-II,--,--,130,525,0
ID-140129B,0.26,Master-II,--,--,170,363,0
ID-140129B,0.33,Master-II,--,--,180,275,0
ID-140129B,0.43,Master-II,--,--,360,191,0
ID-140320A,32.9,Johnson,RATIR,r,5040,10.7,0
ID-140320A,32.9,Johnson,RATIR,i,5040,10.4,0
ID-140320A,32.9,Johnson,RATIR,Z,2016,24.3,0
ID-140320A,32.9,Johnson,RATIR,Y,2016,20.2,0
ID-140320A,32.9,Johnson,RATIR,J,2016,25.3,0
ID-140320A,32.9,Johnson,RATIR,H,20167,37.3,0
ID-140402A,29,Magellan/Baade,IMACS,r,900,0.36,0
ID-140414A,15.2,TNG,DOLORES,r,1800,5.9,0
ID-140516A,1.6,TNG,DOLORES,r,720,2.38,0
ID-140516A,1.8,NOT,ALFOSC,R,3900,0.5,0
ID-140516A,11.6,Subaru,IRCS+AO188,K',5880,0.84,0
ID-140516A,12.4,Gemini-N,GMOS,i,1800,0.14,0
ID-140516A,13,Johnson,RATIR,J,3200,5.8,0
ID-140606A,7.3,AAO,--,R,120,6.46,0
ID-140619B,35.5,Magellan/Baade,Fourstar,J,770,2.54,0
ID-140622A,0.07,ESO/MPG,GROND,r,0,0.8,0
ID-140622A,0.07,ESO/MPG,GROND,J,0,11.4,0
ID-140903A,12.2,DCT,LMI,r,0,7.6,3.1
ID-140930B,3,WHT,ACAM,r,0,7.4,0
ID-140930B,7.3,ESO/MPG,GROND,r,0,2,0.41
ID-140930B,7.8,Magellan/Baade,IMACS,i,900,2.2,0.3
ID-140930B,7.8,MMT,MMTCam,r,1200,0.97,0.2
ID-140930B,13.1,Keck,MOSFIRE,K_s,315,3.1,0.97
ID-140930B,13.3,Keck,MOSFIRE,J,396,2.1,0.43
ID-141205A,11.4,Nanshan,--,R,0,33.2,0
ID-141212A,5.4,CAHA-1.23m,--,I,0,11.1,0
ID-150101B,39.8,Magellan/Baade,IMACS,r,1200,2.26,0.34
ID-150101B,63.6,Magellan/Baade,IMACS,r,1200,1.4,0.38
ID-150101B,231,TNG,NICS,J,0,7.59,0
ID-150101B,257,Gemini-S,GMOS,r,1710,0.76,0
ID-150101B,349,TNG,NICS,J,0,3.98,0
ID-150101B,360,VLT,HAWK-I,H,0,1.45,0
ID-150101B,694,Magellan/Baade,IMACS,r,1200,0.53,0
ID-150120A,2,Gemini-N,GMOS,r,1800,0.36,0
